localhost:8080 - null [Wed, 21 Feb 2018 05:39:18 GMT]  "GET / HTTP/1.1" 401 -
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:22 GMT]  "GET / HTTP/1.1" 200 3143
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:22 GMT]  "GET /js/image-test.js HTTP/1.1" 200 678
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:22 GMT]  "GET /images/sushi.jpg HTTP/1.1" 200 40183
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:22 GMT]  "GET /favicon.ico HTTP/1.1" 404 -
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/5.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:24 GMT]  "GET /test/1.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/2.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/3.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/7.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/4.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/6.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/8.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/10.json HTTP/1.1" 200 14
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /test/9.json HTTP/1.1" 200 13
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:25 GMT]  "GET /images/really-big-image.png HTTP/1.1" 200 7311210
localhost:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:39:34 GMT]  "GET /cgi-bin/perl_env HTTP/1.1" 200 3942
[::1]:8080 - anJvYjoxMjM0 [Wed, 21 Feb 2018 05:41:28 GMT]  "GET / HTTP/1.1" 200 3143
